Cognome,Nome,Squadra,Posizione,Partite Giocate,Tiri Totali,Gol Totali,Tiri Sbagliati,Gol Azione,Gol Rigore,Percentuale Realizzazione,Assist,Falli Tecnici,Intercetti,Blocchi,Cartellino Giallo,2 Minuti,Cartellino Rosso,Cartellino Blu,Stagione,Categoria
Bornhorn,Bengt,AUE,Pivot,33,87,67,20,67,0,0.7701,6,12,5,5,10,15,0,0,17/18,B
Schliedermann,Marcel,EIS,Centrale,34,114,65,49,65,0,0.5702,28,38,4,8,11,16,1,0,17/18,B
Honicke,Jonas,DES,Centrale,35,121,65,56,49,16,0.5372,37,30,3,3,12,10,0,0,17/18,B
Babak,Tomas,BHC,Centrale,32,115,65,50,65,0,0.5652,58,18,3,3,1,2,0,0,17/18,B
Magi,Janar,AUE,Terzino Sinistro,29,114,64,50,64,0,0.5614,11,12,0,0,0,0,0,0,17/18,B
Nothdurft,Tim,HBW,Ala Sinistra,33,94,64,30,63,1,0.6809000000000001,3,3,3,0,1,5,0,0,17/18,B
Schneider,Sebastian,HAG,Terzino Sinistro,31,146,62,84,62,0,0.4246999999999999,16,17,0,1,3,2,0,0,17/18,B
Murawski,Martin,HGS,Ala Sinistra,34,95,62,33,62,0,0.6526000000000001,5,10,7,1,10,10,0,0,17/18,B
Pfeiffer,Florian,DES,Terzino Sinistro,33,100,62,38,62,0,0.62,28,28,4,6,18,22,2,0,17/18,B
Boese,Rene,ELB,Ala Destra,33,93,62,31,51,11,0.6667000000000001,12,9,6,2,2,4,0,0,17/18,B
Claus,Dominik,SGB,Terzino Destro,37,101,61,40,61,0,0.604,44,27,6,3,5,8,0,0,17/18,B
Zechel,Tim,TUE,Pivot,32,94,61,33,61,0,0.6489,11,23,7,20,21,28,3,0,17/18,B
Gempp,Patrick,WÖW,Pivot,33,81,60,21,60,0,0.7406999999999999,11,8,6,2,15,22,0,0,17/18,B
Prohl,Tilman,HAG,Pivot,33,87,60,27,60,0,0.6897,22,22,4,22,13,34,3,0,17/18,B
Spohn,Valentin,HBW,Terzino Sinistro,27,120,59,61,59,0,0.4917,12,6,2,5,7,4,0,0,17/18,B
Schaffer,Jan,WÖW,Pivot,20,83,59,24,59,0,0.7108,9,13,4,9,12,18,3,0,17/18,B
Drager,Yannick,TVE,Pivot,38,87,58,29,57,1,0.6667000000000001,15,20,13,23,21,38,6,0,17/18,B
Coric,Teo,VIK,Pivot,37,77,58,19,58,0,0.7532,4,26,1,7,16,23,3,0,17/18,B
Schmidt,Valentin,SGB,Centrale,34,109,57,52,42,15,0.5229,58,16,3,1,11,5,0,0,17/18,B
Maas,Sebastian,WHV,Ala Sinistra,32,92,57,35,56,1,0.6196,7,5,2,0,6,9,0,0,17/18,B
